时间	设备编号	货物编号	状态
26.05	101	TP055	无货变为有货
26.05	2	TP055	有货变为无货
42.20	102	TP064	无货变为有货
42.20	4	TP064	有货变为无货
58.45	103	TP073	无货变为有货
58.45	6	TP073	有货变为无货
71.00	101	TP055	有货变为无货
71.00	13	TP055	无货变为有货
76.15	2	TP056	无货变为有货
92.30	4	TP065	无货变为有货
101.05	13	TP055	有货变为无货
102.50	101	TP082	无货变为有货
102.50	8	TP082	有货变为无货
108.55	6	TP074	无货变为有货
108.60	102	TP064	有货变为无货
108.60	13	TP064	无货变为有货
132.45	102	TP056	无货变为有货
132.45	2	TP056	有货变为无货
138.65	13	TP064	有货变为无货
146.20	103	TP073	有货变为无货
146.20	13	TP073	无货变为有货
152.60	8	TP083	无货变为有货
173.05	103	TP065	无货变为有货
173.05	4	TP065	有货变为无货
175.80	102	TP056	有货变为无货
175.80	14	TP056	无货变为有货
176.25	13	TP073	有货变为无货
182.55	2	TP057	无货变为有货
183.80	101	TP082	有货变为无货
183.80	13	TP082	无货变为有货
205.85	14	TP056	有货变为无货
207.65	101	TP057	无货变为有货
207.65	2	TP057	有货变为无货
213.85	13	TP082	有货变为无货
214.15	103	TP065	有货变为无货
214.15	14	TP065	无货变为有货
223.15	4	TP066	无货变为有货
226.90	102	TP074	无货变为有货
226.90	6	TP074	有货变为无货
244.20	14	TP065	有货变为无货
246.70	103	TP083	无货变为有货
246.70	8	TP083	有货变为无货
250.35	101	TP057	有货变为无货
250.35	15	TP057	无货变为有货
257.75	2	TP058	无货变为有货
266.15	102	TP074	有货变为无货
266.15	14	TP074	无货变为有货
277.00	6	TP075	无货变为有货
279.45	101	TP066	无货变为有货
279.45	4	TP066	有货变为无货
280.40	15	TP057	有货变为无货
291.05	102	TP058	无货变为有货
291.05	2	TP058	有货变为无货
296.20	14	TP074	有货变为无货
296.80	8	TP084	无货变为有货
303.75	103	TP083	有货变为无货
303.75	14	TP083	无货变为有货
319.90	101	TP066	有货变为无货
319.90	15	TP066	无货变为有货
329.55	4	TP067	无货变为有货
333.80	14	TP083	有货变为无货
334.05	103	TP075	无货变为有货
334.05	6	TP075	有货变为无货
336.65	102	TP058	有货变为无货
336.65	13	TP058	无货变为有货
341.15	2	TP059	无货变为有货
349.95	15	TP066	有货变为无货
353.65	101	TP084	无货变为有货
353.65	8	TP084	有货变为无货
363.50	102	TP067	无货变为有货
363.50	4	TP067	有货变为无货
366.70	13	TP058	有货变为无货
372.25	103	TP075	有货变为无货
372.25	15	TP075	无货变为有货
384.15	6	TP076	无货变为有货
398.35	103	TP059	无货变为有货
398.35	2	TP059	有货变为无货
402.30	15	TP075	有货变为无货
403.75	8	TP085	无货变为有货
409.85	101	TP084	有货变为无货
409.85	15	TP084	无货变为有货
413.60	4	TP068	无货变为有货
425.45	102	TP067	有货变为无货
425.45	13	TP067	无货变为有货
439.90	15	TP084	有货变为无货
441.35	101	TP076	无货变为有货
441.35	6	TP076	有货变为无货
441.70	103	TP059	有货变为无货
441.70	14	TP059	无货变为有货
448.45	2	TP060	无货变为有货
452.30	102	TP068	无货变为有货
452.30	4	TP068	有货变为无货
455.50	13	TP067	有货变为无货
471.75	14	TP059	有货变为无货
474.25	103	TP085	无货变为有货
474.25	8	TP085	有货变为无货
481.80	101	TP076	有货变为无货
481.80	13	TP076	无货变为有货
491.45	6	TP077	无货变为有货
493.40	102	TP068	有货变为无货
493.40	14	TP068	无货变为有货
502.40	4	TP069	无货变为有货
505.65	101	TP060	无货变为有货
505.65	2	TP060	有货变为无货
511.85	13	TP076	有货变为无货
519.40	103	TP085	有货变为无货
519.40	13	TP085	无货变为有货
523.45	14	TP068	有货变为无货
524.35	8	TP086	无货变为有货
524.70	102	TP077	无货变为有货
524.70	6	TP077	有货变为无货
546.25	103	TP069	无货变为有货
546.25	4	TP069	有货变为无货
548.35	101	TP060	有货变为无货
548.35	15	TP060	无货变为有货
549.45	13	TP085	有货变为无货
555.75	2	TP061	无货变为有货
564.40	102	TP077	有货变为无货
564.40	14	TP077	无货变为有货
574.80	6	TP078	无货变为有货
578.40	15	TP060	有货变为无货
582.10	101	TP086	无货变为有货
582.10	8	TP086	有货变为无货
586.70	103	TP069	有货变为无货
586.70	15	TP069	无货变为有货
589.30	102	TP061	无货变为有货
589.30	2	TP061	有货变为无货
594.45	14	TP077	有货变为无货
596.35	4	TP070	无货变为有货
616.75	15	TP069	有货变为无货
618.20	103	TP078	无货变为有货
618.20	6	TP078	有货变为无货
618.70	101	TP086	有货变为无货
618.70	14	TP086	无货变为有货
632.20	8	TP087	无货变为有货
634.35	102	TP061	有货变为无货
634.35	13	TP061	无货变为有货
639.40	2	TP062	无货变为有货
646.60	101	TP070	无货变为有货
646.60	4	TP070	有货变为无货
648.75	14	TP086	有货变为无货
656.40	103	TP078	有货变为无货
656.40	15	TP078	无货变为有货
664.40	13	TP061	有货变为无货
666.30	102	TP087	无货变为有货
666.30	8	TP087	有货变为无货
668.30	6	TP079	无货变为有货
682.50	103	TP062	无货变为有货
682.50	2	TP062	有货变为无货
686.45	15	TP078	有货变为无货
689.30	101	TP070	有货变为无货
689.30	13	TP070	无货变为有货
696.70	4	TP071	无货变为有货
702.25	102	TP087	有货变为无货
702.25	15	TP087	无货变为有货
716.40	8	TP088	无货变为有货
718.55	101	TP079	无货变为有货
718.55	6	TP079	有货变为无货
719.35	13	TP070	有货变为无货
725.85	103	TP062	有货变为无货
725.85	14	TP062	无货变为有货
731.35	102	TP071	无货变为有货
731.35	4	TP071	有货变为无货
732.30	15	TP087	有货变为无货
732.60	2	TP063	无货变为有货
755.90	14	TP062	有货变为无货
758.40	103	TP088	无货变为有货
758.40	8	TP088	有货变为无货
759.00	101	TP079	有货变为无货
759.00	13	TP079	无货变为有货
768.65	6	TP080	无货变为有货
772.45	102	TP071	有货变为无货
772.45	14	TP071	无货变为有货
781.45	4	TP072	无货变为有货
782.85	101	TP063	无货变为有货
782.85	2	TP063	有货变为无货
789.05	13	TP079	有货变为无货
796.60	103	TP088	有货变为无货
796.60	13	TP088	无货变为有货
802.50	14	TP071	有货变为无货
802.70	102	TP080	无货变为有货
802.70	6	TP080	有货变为无货
808.50	8	TP089	无货变为有货
823.45	103	TP072	无货变为有货
823.45	4	TP072	有货变为无货
825.55	101	TP063	有货变为无货
825.55	15	TP063	无货变为有货
826.65	13	TP088	有货变为无货
841.80	102	TP080	有货变为无货
841.80	14	TP080	无货变为有货
852.80	6	TP081	无货变为有货
855.60	15	TP063	有货变为无货
859.30	101	TP089	无货变为有货
859.30	8	TP089	有货变为无货
863.90	103	TP072	有货变为无货
863.90	15	TP072	无货变为有货
871.85	14	TP080	有货变为无货
876.70	102	TP091	无货变为有货
876.70	10	TP091	有货变为无货
893.95	15	TP072	有货变为无货
895.40	103	TP081	无货变为有货
895.40	6	TP081	有货变为无货
895.90	101	TP089	有货变为无货
895.90	14	TP089	无货变为有货
909.40	8	TP090	无货变为有货
912.40	102	TP091	有货变为无货
912.40	13	TP091	无货变为有货
925.95	14	TP089	有货变为无货
926.80	10	TP092	无货变为有货
932.95	101	TP100	无货变为有货
932.95	12	TP100	有货变为无货
933.60	103	TP081	有货变为无货
933.60	15	TP081	无货变为有货
942.45	13	TP091	有货变为无货
943.90	102	TP090	无货变为有货
943.90	8	TP090	有货变为无货
963.65	15	TP081	有货变为无货
969.60	101	TP100	有货变为无货
969.60	13	TP100	无货变为有货
969.60	103	TP092	无货变为有货
969.60	10	TP092	有货变为无货
979.85	102	TP090	有货变为无货
979.85	15	TP090	无货变为有货
983.05	12	TP101	无货变为有货
999.65	13	TP100	有货变为无货
1003.95	103	TP092	有货变为无货
1003.95	14	TP092	无货变为有货
1009.90	15	TP090	有货变为无货
1017.35	101	TP037	无货变为有货
1017.35	18	TP037	有货变为无货
1019.70	10	TP093	无货变为有货
1032.25	102	TP019	无货变为有货
1032.25	17	TP019	有货变为无货
1034.00	14	TP092	有货变为无货
1041.00	103	TP101	无货变为有货
1041.00	12	TP101	有货变为无货
1047.40	18	TP038	无货变为有货
1048.90	101	TP037	有货变为无货
1048.90	1	TP037	无货变为有货
1062.30	17	TP020	无货变为有货
1071.60	101	TP093	无货变为有货
1071.60	10	TP093	有货变为无货
1073.95	1	TP037	有货变为无货
1076.05	103	TP101	有货变为无货
1076.05	14	TP101	无货变为有货
1081.50	102	TP019	有货变为无货
1081.50	1	TP019	无货变为有货
1091.10	12	TP102	无货变为有货
1105.30	101	TP093	有货变为无货
1105.30	15	TP093	无货变为有货
1106.10	14	TP101	有货变为无货
1106.55	1	TP019	有货变为无货
1119.00	102	TP020	无货变为有货
1119.00	17	TP020	有货变为无货
1121.70	10	TP094	无货变为有货
1125.05	103	TP038	无货变为有货
1125.05	18	TP038	有货变为无货
1135.35	15	TP093	有货变为无货
1143.55	101	TP102	无货变为有货
1143.55	12	TP102	有货变为无货
1149.05	17	TP021	无货变为有货
1152.40	102	TP020	有货变为无货
1152.40	3	TP020	无货变为有货
1155.10	18	TP039	无货变为有货
1172.85	102	TP094	无货变为有货
1172.85	10	TP094	有货变为无货
1177.45	3	TP020	有货变为无货
1177.95	101	TP102	有货变为无货
1177.95	15	TP102	无货变为有货
1185.00	103	TP038	有货变为无货
1185.00	3	TP038	无货变为有货
1193.65	12	TP103	无货变为有货
1208.00	15	TP102	有货变为无货
1208.80	102	TP094	有货变为无货
1208.80	13	TP094	无货变为有货
1210.05	3	TP038	有货变为无货
1220.25	103	TP021	无货变为有货
1220.25	17	TP021	有货变为无货
1222.95	10	TP095	无货变为有货
1227.95	101	TP039	无货变为有货
1227.95	18	TP039	有货变为无货
1238.85	13	TP094	有货变为无货
1244.80	102	TP103	无货变为有货
1244.80	12	TP103	有货变为无货
1250.30	17	TP022	无货变为有货
1256.35	103	TP021	有货变为无货
1256.35	5	TP021	无货变为有货
1258.00	18	TP040	无货变为有货
1274.55	103	TP095	无货变为有货
1274.55	10	TP095	有货变为无货
1281.40	5	TP021	有货变为无货
1281.45	102	TP103	有货变为无货
1281.45	13	TP103	无货变为有货
1288.95	101	TP039	有货变为无货
1288.95	5	TP039	无货变为有货
1294.90	12	TP104	无货变为有货
1308.90	103	TP095	有货变为无货
1308.90	14	TP095	无货变为有货
1311.50	13	TP103	有货变为无货
1314.00	5	TP039	有货变为无货
1321.95	101	TP022	无货变为有货
1321.95	17	TP022	有货变为无货
1324.65	10	TP096	无货变为有货
1329.20	102	TP040	无货变为有货
1329.20	18	TP040	有货变为无货
1338.95	14	TP095	有货变为无货
1345.95	103	TP104	无货变为有货
1345.95	12	TP104	有货变为无货
1352.00	17	TP023	无货变为有货
1359.25	18	TP041	无货变为有货
1360.30	101	TP022	有货变为无货
1360.30	7	TP022	无货变为有货
1375.90	101	TP096	无货变为有货
1375.90	10	TP096	有货变为无货
1381.00	103	TP104	有货变为无货
1381.00	14	TP104	无货变为有货
1385.35	7	TP022	有货变为无货
1392.90	102	TP040	有货变为无货
1392.90	7	TP040	无货变为有货
1396.05	12	TP105	无货变为有货
1409.60	101	TP096	有货变为无货
1409.60	15	TP096	无货变为有货
1411.05	14	TP104	有货变为无货
1417.95	7	TP040	有货变为无货
1423.65	102	TP023	无货变为有货
1423.65	17	TP023	有货变为无货
1426.00	10	TP097	无货变为有货
1429.95	103	TP041	无货变为有货
1429.95	18	TP041	有货变为无货
1439.65	15	TP096	有货变为无货
1447.85	101	TP105	无货变为有货
1447.85	12	TP105	有货变为无货
1453.70	17	TP024	无货变为有货
1460.00	18	TP042	无货变为有货
1464.25	102	TP023	有货变为无货
1464.25	9	TP023	无货变为有货
1475.90	102	TP097	无货变为有货
1475.90	10	TP097	有货变为无货
1482.25	101	TP105	有货变为无货
1482.25	15	TP105	无货变为有货
1489.30	9	TP023	有货变为无货
1496.85	103	TP041	有货变为无货
1496.85	9	TP041	无货变为有货
1497.95	12	TP106	无货变为有货
1511.85	102	TP097	有货变为无货
1511.85	13	TP097	无货变为有货
1512.30	15	TP105	有货变为无货
1521.90	9	TP041	有货变为无货
1525.35	103	TP024	无货变为有货
1525.35	17	TP024	有货变为无货
1526.00	10	TP098	无货变为有货
1532.25	101	TP042	无货变为有货
1532.25	18	TP042	有货变为无货
1541.90	13	TP097	有货变为无货
1547.85	102	TP106	无货变为有货
1547.85	12	TP106	有货变为无货
1555.40	17	TP025	无货变为有货
1562.30	18	TP043	无货变为有货
1568.20	103	TP024	有货变为无货
1568.20	11	TP024	无货变为有货
1584.50	102	TP106	有货变为无货
1584.50	13	TP106	无货变为有货
1593.25	11	TP024	有货变为无货
1593.70	103	TP043	无货变为有货
1593.70	18	TP043	有货变为无货
1597.95	12	TP107	无货变为有货
1600.80	101	TP042	有货变为无货
1600.80	11	TP042	无货变为有货
1612.45	101	TP107	无货变为有货
1612.45	12	TP107	有货变为无货
1614.55	13	TP106	有货变为无货
1618.25	102	TP098	无货变为有货
1618.25	10	TP098	有货变为无货
1623.75	18	TP044	无货变为有货
1625.25	103	TP043	有货变为无货
1625.25	1	TP043	无货变为有货
1625.85	11	TP042	有货变为无货
1647.50	101	TP107	有货变为无货
1647.50	14	TP107	无货变为有货
1650.30	1	TP043	有货变为无货
1661.50	103	TP044	无货变为有货
1661.50	18	TP044	有货变为无货
1662.55	12	TP108	无货变为有货
1668.35	10	TP099	无货变为有货
1677.55	14	TP107	有货变为无货
1685.10	102	TP098	有货变为无货
1685.10	14	TP098	无货变为有货
1691.55	18	TP045	无货变为有货
1697.35	101	TP025	无货变为有货
1697.35	17	TP025	有货变为无货
1715.15	14	TP098	有货变为无货
1718.65	103	TP044	有货变为无货
1718.65	3	TP044	无货变为有货
1719.90	102	TP099	无货变为有货
1719.90	10	TP099	有货变为无货
1727.40	17	TP026	无货变为有货
1727.70	101	TP025	有货变为无货
1727.70	1	TP025	无货变为有货
1741.35	103	TP108	无货变为有货
1741.35	12	TP108	有货变为无货
1743.70	3	TP044	有货变为无货
1752.75	1	TP025	有货变为无货
1753.60	102	TP099	有货变为无货
1753.60	15	TP099	无货变为有货
1773.60	101	TP045	无货变为有货
1773.60	18	TP045	有货变为无货
1783.65	15	TP099	有货变为无货
1791.20	103	TP108	有货变为无货
1791.20	15	TP108	无货变为有货
1803.65	18	TP046	无货变为有货
1804.65	102	TP026	无货变为有货
1804.65	17	TP026	有货变为无货
1821.25	15	TP108	有货变为无货
1828.85	101	TP045	有货变为无货
1828.85	5	TP045	无货变为有货
1834.70	17	TP027	无货变为有货
1838.05	102	TP026	有货变为无货
1838.05	3	TP026	无货变为有货
1843.85	103	TP001	无货变为有货
1843.85	16	TP001	有货变为无货
1853.90	5	TP045	有货变为无货
1860.60	101	TP046	无货变为有货
1860.60	18	TP046	有货变为无货
1863.10	3	TP026	有货变为无货
1873.15	103	TP001	有货变为无货
1873.15	1	TP001	无货变为有货
1873.90	16	TP002	无货变为有货
1874.95	102	TP027	无货变为有货
1874.95	17	TP027	有货变为无货
1890.65	18	TP047	无货变为有货
1898.20	1	TP001	有货变为无货
1900.15	101	TP046	有货变为无货
1900.15	7	TP046	无货变为有货
1905.00	17	TP028	无货变为有货
1911.05	102	TP027	有货变为无货
1911.05	5	TP027	无货变为有货
1912.30	103	TP002	无货变为有货
1912.30	16	TP002	有货变为无货
1925.20	7	TP046	有货变为无货
1929.65	101	TP047	无货变为有货
1929.65	18	TP047	有货变为无货
1936.10	5	TP027	有货变为无货
1942.35	16	TP003	无货变为有货
1944.65	103	TP002	有货变为无货
1944.65	3	TP002	无货变为有货
1945.05	102	TP028	无货变为有货
1945.05	17	TP028	有货变为无货
1959.70	18	TP048	无货变为有货
1969.70	3	TP002	有货变为无货
1971.45	101	TP047	有货变为无货
