--- 仿真总结 (任务 2) ---
完成所有任务总耗时: 3050.85 秒
穿梭车数量: 3

设备统计数据:
设备ID	设备名称	总空闲时间(秒)	总有货时间(秒)
1	入库接口1	2757.45	68.40
2	出库接口2	2268.40	382.05
3	入库接口3	2757.45	68.40
4	出库接口4	2227.80	422.65
5	入库接口5	2757.45	68.40
6	出库接口6	2155.85	494.60
7	入库接口7	2757.45	68.40
8	出库接口8	2107.35	543.10
9	入库接口9	2757.45	68.40
10	出库接口10	1331.35	1319.10
11	入库接口11	2757.45	68.40
12	出库接口12	1309.90	1340.55
13	出库口13	2374.05	136.80
14	出库口14	2374.05	136.80
15	出库口15	2374.05	136.80
16	入库口16	67.75	2473.10
17	入库口17	569.25	1971.60
18	入库口18	639.90	1900.95
