任务编号	物料编号	任务类型	起始设备	目的设备	起始时间	穿梭车编号	取货完成时间	放货完成时间	货物取走时间
55	TP055	出库	2	13	0.00	1	26.05	71.00	101.05
64	TP064	出库	4	13	0.00	2	42.20	108.60	138.65
73	TP073	出库	6	13	0.00	3	58.45	146.20	176.25
56	TP056	出库	2	14	76.15	2	132.45	175.80	205.85
82	TP082	出库	8	13	0.00	1	102.50	183.80	213.85
65	TP065	出库	4	14	92.30	3	173.05	214.15	244.20
57	TP057	出库	2	15	182.55	1	207.65	250.35	280.40
74	TP074	出库	6	14	108.55	2	226.90	266.15	296.20
83	TP083	出库	8	14	152.60	3	246.70	303.75	333.80
66	TP066	出库	4	15	223.15	1	279.45	319.90	349.95
58	TP058	出库	2	13	257.75	2	291.05	336.65	366.70
75	TP075	出库	6	15	277.00	3	334.05	372.25	402.30
84	TP084	出库	8	15	296.80	1	353.65	409.85	439.90
67	TP067	出库	4	13	329.55	2	363.50	425.45	455.50
59	TP059	出库	2	14	341.15	3	398.35	441.70	471.75
76	TP076	出库	6	13	384.15	1	441.35	481.80	511.85
68	TP068	出库	4	14	413.60	2	452.30	493.40	523.45
85	TP085	出库	8	13	403.75	3	474.25	519.40	549.45
60	TP060	出库	2	15	448.45	1	505.65	548.35	578.40
77	TP077	出库	6	14	491.45	2	524.70	564.40	594.45
69	TP069	出库	4	15	502.40	3	546.25	586.70	616.75
86	TP086	出库	8	14	524.35	1	582.10	618.70	648.75
61	TP061	出库	2	13	555.75	2	589.30	634.35	664.40
78	TP078	出库	6	15	574.80	3	618.20	656.40	686.45
70	TP070	出库	4	13	596.35	1	646.60	689.30	719.35
87	TP087	出库	8	15	632.20	2	666.30	702.25	732.30
62	TP062	出库	2	14	639.40	3	682.50	725.85	755.90
79	TP079	出库	6	13	668.30	1	718.55	759.00	789.05
71	TP071	出库	4	14	696.70	2	731.35	772.45	802.50
88	TP088	出库	8	13	716.40	3	758.40	796.60	826.65
63	TP063	出库	2	15	732.60	1	782.85	825.55	855.60
80	TP080	出库	6	14	768.65	2	802.70	841.80	871.85
72	TP072	出库	4	15	781.45	3	823.45	863.90	893.95
89	TP089	出库	8	14	808.50	1	859.30	895.90	925.95
91	TP091	出库	10	13	0.00	2	876.70	912.40	942.45
81	TP081	出库	6	15	852.80	3	895.40	933.60	963.65
